Year,QoL_index,Delta_QoL,Engel_Coeff_Pct,HousingCost_Income_Ratio_Pct,Stress_Index,Disposable_Income_Real_ThousandKRW,Leisure_Exp_Ratio_Pct,Engel_dir_z,Housing_dir_z,Stress_dir_z,Income_dir_z,Leisure_dir_z,MW_Growth_Pct
2008,-0.4266944264425097,,14.1,14.4,28.3,14281.0,5.1,0.3746255615641402,1.2922164030545478,-1.163686670314079,-1.439385250311357,-1.1972421762058008,8.333333333333332
2009,-0.0818749287074327,0.344819497735077,13.9,14.2,27.2,14604.0,5.2,0.6743260108154492,1.5169496905422963,-0.1790287185098575,-1.3520852823078702,-1.0695363440771812,6.10079575596817
2010,-0.0521777078308878,0.0296972208765449,14.0,14.4,27.3,15453.0,5.5,0.5244757861897947,1.2922164030545478,-0.2685430777647879,-1.1226188029426685,-0.6864188476913253,2.75
2011,-0.3230463816328931,-0.2708686738020053,14.3,14.8,27.9,16228.0,5.4,0.0749251123128285,0.8427498280790526,-0.8056292332943605,-0.9131529354420428,-0.8141246798199436,5.109489051094891
2012,-0.3619212646559452,-0.038874883023052,14.4,15.1,27.9,16838.0,5.5,-0.0749251123128259,0.5056498968474328,-0.8056292332943605,-0.7482830268286469,-0.6864188476913253,6.018518518518518
2013,-0.2009281635338113,0.1609931011221338,14.2,15.4,27.3,17495.0,5.6,0.2247753369384857,0.1685499656158109,-0.2685430777647879,-0.5707100268958583,-0.558713015562707,6.11353711790393
2014,-0.1319403518379555,0.0689878116958557,14.0,15.1,28.0,18261.0,5.7,0.5244757861897947,0.5056498968474328,-0.8951435925492909,-0.3636766662436269,-0.4310071834340876,7.20164609053498
2015,-0.2797304282384337,-0.1477900764004781,14.0,15.9,28.3,19374.0,5.8,0.5244757861897947,-0.3932832531035575,-1.163686670314079,-0.0628566526588571,-0.3033013513054693,7.1017274472168905
2016,-0.1655369682147615,0.1141934600236721,13.9,16.1,28.0,19825.0,6.0,0.6743260108154492,-0.6180165405913061,-0.8951435925492909,0.0590389682995715,-0.0478896870482315,8.064516129032258
2017,0.3405166425756392,0.5060536107904008,14.1,15.5,26.9,20378.0,6.8,0.3746255615641402,0.0561833218719376,0.0895143592549303,0.2085030002064697,0.973756969980718,7.296849087893864
2018,0.5662484943529679,0.2257318517773286,14.4,15.6,26.4,21197.0,7.6,-0.0749251123128259,-0.0561833218719356,0.5370861555295758,0.4298611234103568,1.995403627009668,16.383307573415763
2019,0.9533658954411688,0.3871174010882008,13.5,15.9,25.2,22059.0,7.3,1.27372690931807,-0.3932832531035575,1.6112584665887242,0.6628412237787948,1.612286130623812,10.88977423638778
2020,-0.5801593919548674,-1.533525287396036,15.9,17.2,26.2,22800.0,5.8,-2.322678481697652,-1.8540496217739144,0.7161148740394334,0.8631176209632642,-0.3033013513054693,2.874251497005988
2021,-0.5600775410462612,0.0200818509086062,15.9,17.2,26.2,23644.0,5.7,-2.322678481697652,-1.8540496217739144,0.7161148740394334,1.0912327076349135,-0.4310071834340876,1.5133876600698486
2022,0.6152096890835442,1.1752872301298054,14.8,15.9,24.5,24945.0,6.4,-0.6743260108154466,-0.3932832531035575,2.2378589813732277,1.4428650864972543,0.4629336414662439,5.045871559633028
2023,0.6887468326424504,0.0735371435589061,14.2,16.1,26.4,26323.0,7.2,0.2247753369384857,-0.6180165405913061,0.5370861555295758,1.8153089128403024,1.4845802984951937,5.021834061135371
